user_id	review_id	votes.cool	business_id	votes.funny	stars	date	type	votes.useful
FU_NHgnxUvKyqhaCoOqg_A	HxkZtCHHhKOCq4UljuTVDg	0	4glD2-evDFddHjQaEVpCPQ	0	5	2011-05-14	review	0
1LKiHzIWKhKHhk7IjcxQ4A	Kl6Vl8JksmBs9BShkdeGmA	0	4glD2-evDFddHjQaEVpCPQ	0	4	2011-10-11	review	1
J0Tp9-6ysOe3Ak5otUsY7Q	jyuPCqLsBmHSLvMTk6UT5Q	0	4glD2-evDFddHjQaEVpCPQ	0	4	2012-03-23	review	0
K_SHiBrppz8m9lmy4S_gNw	sSHF3ErsZJ8hbGIUc2Vjzg	0	4glD2-evDFddHjQaEVpCPQ	0	3	2012-11-12	review	1
xndoH7GUthdqMnW9DgFaSw	-T41X70xOkwCobCmLv0Yqw	0	4glD2-evDFddHjQaEVpCPQ	0	4	2012-12-09	review	1
b6N6uq_QRf3_M6gab8EIkw	-aYk1TfMZ8aTkCUbf5lXPg	0	4glD2-evDFddHjQaEVpCPQ	0	4	2013-01-05	review	1
do-fO-EruYVP_FQPMNWmZg	NDdr8kkjljDWJx90Z7IUAg	0	4glD2-evDFddHjQaEVpCPQ	0	2	2013-07-21	review	1
LQ7mat58GGb_9wyPHinrsA	70LkktxDQJbEoS3qpylDjg	0	4glD2-evDFddHjQaEVpCPQ	0	5	2013-10-15	review	1
UO7Cya8cmX-uaCyd4cYgGA	a2XAU7OBIVG2qLOxZoeusw	0	4glD2-evDFddHjQaEVpCPQ	0	4	2014-03-14	review	0
FdwgcQNt7CpgTN70xmU5Fw	ewIwBzrT92Z7xm1BK87M-w	0	4glD2-evDFddHjQaEVpCPQ	0	3	2014-04-22	review	0
MAAjOlA688zD0H7pfoUkcw	9zS1Gewf6V2nrqLgXmOHpg	0	4glD2-evDFddHjQaEVpCPQ	0	4	2014-10-18	review	0
qHi9r8EJ9v71Ydjij1cgBg	mcBRl3lPNZRMIXwE8DbCyw	0	4glD2-evDFddHjQaEVpCPQ	0	5	2014-11-09	review	0